codigo_candidato,data_cadastro,nome_completo,sexo,uf,faixa_etaria,nivel_educacional,setor_profissional,tempo_experiencia,qtd_certificacoes,idioma_principal,salario_esperado,salario_oferecido,aceita_viagem,aceita_mudanca,deficiencia,foi_contratado
192,2023-10-26,Candidato_192,Feminino,RS,,Ensino Médio,Tecnologia,5.5,1.0,Alemão,5500.0,6200.0,,,Não,0.0
193,2023-01-09,Candidato_193,Masculino,MG,19.0,Graduação,Recursos Humanos,2.6,2.0,Nenhum,6700.0,8000.0,Não,Não,Não,0.0
194,2023-11-03,Candidato_194,Outro,RS,,Ensino Médio,Recursos Humanos,4.6,4.0,Francês,6800.0,5600.0,,Sim,Não,0.0
195,2023-08-31,Candidato_195,Feminino,BA,51.0,Doutorado,Recursos Humanos,4.0,,Nenhum,10600.0,9100.0,Não,Sim,Não,0.0
196,2023-04-17,Candidato_196,Masculino,PR,44.0,Doutorado,Administração,3.9,3.0,Espanhol,7800.0,6600.0,Sim,Sim,Não,0.0
197,2022-08-21,Candidato_197,Masculino,,58.0,,Tecnologia,3.9,4.0,Inglês,8100.0,8700.0,,,Não,0.0
198,2023-11-23,,Masculino,RJ,18.0,Tecnólogo,Educação,4.7,1.0,Espanhol,8100.0,8400.0,Não,Sim,Não,0.0
199,2022-04-23,Candidato_199,Masculino,,25.0,Graduação,Tecnologia,5.6,2.0,Nenhum,8300.0,7800.0,Sim,Sim,Não,
200,2023-05-12,Candidato_200,Outro,BA,40.0,Graduação,,0.0,1.0,Nenhum,4200.0,3500.0,Sim,Não,Não,1.0
201,2023-03-18,Candidato_201,Outro,RS,55.0,Doutorado,Engenharia,0.2,1.0,Nenhum,11100.0,11700.0,Não,Sim,Não,0.0
202,2023-07-18,Candidato_202,Feminino,,23.0,Ensino Médio,Financeiro,4.3,4.0,Nenhum,5200.0,5300.0,Sim,Sim,,0.0
203,2022-09-25,,Feminino,PE,39.0,Graduação,,4.6,2.0,,6900.0,5800.0,Não,Sim,Não,0.0
204,2023-05-25,,Feminino,DF,42.0,Graduação,Recursos Humanos,,0.0,Inglês,10100.0,11800.0,Sim,Não,Não,0.0
205,2023-01-21,Candidato_205,Masculino,RS,35.0,Tecnólogo,Tecnologia,3.5,3.0,,10900.0,9600.0,Não,Sim,Não,0.0
206,2023-01-22,Candidato_206,,RJ,34.0,Mestrado,Financeiro,5.0,1.0,Nenhum,8600.0,9400.0,Sim,Não,Não,0.0
207,2022-04-23,Candidato_207,Outro,RJ,29.0,Doutorado,Recursos Humanos,5.3,2.0,Francês,6000.0,,Sim,Sim,Não,0.0
208,2023-09-05,Candidato_208,Masculino,SP,,Doutorado,Financeiro,3.5,2.0,,7300.0,7500.0,Sim,Sim,,0.0
209,2023-09-17,Candidato_209,Masculino,RS,43.0,Mestrado,Educação,7.0,0.0,Nenhum,7300.0,6600.0,Sim,Sim,Não,1.0
210,2022-03-22,Candidato_210,Masculino,DF,44.0,Graduação,Marketing,,2.0,Nenhum,7400.0,6800.0,,Sim,,1.0
211,2023-11-30,Candidato_211,Feminino,CE,25.0,,Engenharia,6.1,5.0,,4500.0,5200.0,Sim,Sim,Não,0.0
212,2022-04-23,Candidato_212,Feminino,SC,36.0,Tecnólogo,Financeiro,5.1,2.0,Espanhol,9500.0,8700.0,Não,Sim,Não,
213,2022-01-02,Candidato_213,Outro,DF,,Doutorado,Administração,9.2,3.0,Alemão,,8000.0,Sim,Não,,0.0
214,2023-10-04,Candidato_214,Masculino,SC,18.0,Tecnólogo,Saúde,6.2,0.0,Alemão,5600.0,6700.0,Sim,Sim,Não,1.0
215,2022-08-08,Candidato_215,Masculino,SC,,Mestrado,,4.0,2.0,Alemão,6000.0,7200.0,Não,Sim,Não,1.0
216,2023-07-20,Candidato_216,Outro,PE,62.0,Graduação,Recursos Humanos,6.6,1.0,Nenhum,7500.0,7600.0,Sim,Sim,Não,1.0
217,2022-08-13,Candidato_217,Masculino,SP,52.0,Mestrado,Educação,1.7,3.0,Inglês,4200.0,4700.0,Sim,Não,Não,0.0
218,2023-01-20,Candidato_218,Masculino,DF,57.0,Ensino Médio,Educação,5.2,2.0,,8800.0,10500.0,Não,Sim,,
219,2023-02-07,Candidato_219,Feminino,DF,31.0,Doutorado,Administração,5.6,1.0,Nenhum,7500.0,7100.0,Sim,Não,Não,0.0
220,2023-09-30,Candidato_220,Outro,PE,52.0,Tecnólogo,Engenharia,5.3,2.0,Francês,10100.0,9100.0,Não,Sim,Não,1.0
221,2022-05-10,,Outro,RS,,Ensino Médio,Administração,4.3,1.0,Inglês,7200.0,6100.0,Sim,,Não,1.0
222,2022-02-22,Candidato_222,Outro,RS,37.0,Tecnólogo,Tecnologia,3.0,2.0,,,4100.0,Sim,Não,Não,0.0
223,2023-11-15,Candidato_223,Outro,RS,30.0,,Recursos Humanos,3.4,5.0,,4600.0,5300.0,Sim,Não,Não,
224,2023-12-31,Candidato_224,Feminino,PR,,Graduação,,,3.0,,6200.0,6400.0,Não,Sim,Não,1.0
225,2023-11-03,Candidato_225,Feminino,SC,63.0,Graduação,Administração,2.8,,Nenhum,6400.0,7400.0,Sim,Não,Não,0.0
226,2023-12-11,Candidato_226,Masculino,PR,25.0,,Saúde,8.5,2.0,Inglês,5900.0,6600.0,Sim,Não,Não,0.0
227,2023-02-20,Candidato_227,Masculino,,60.0,Ensino Médio,Saúde,-0.3,2.0,Inglês,7300.0,7800.0,Sim,Sim,Não,0.0
228,2022-09-04,Candidato_228,Masculino,PE,37.0,Graduação,Recursos Humanos,4.4,0.0,Inglês,5800.0,6100.0,Sim,,Não,0.0
229,2023-03-15,Candidato_229,Masculino,DF,,Ensino Médio,Marketing,5.2,2.0,Francês,7500.0,6100.0,Sim,Sim,Não,
230,2022-07-22,Candidato_230,Feminino,SC,43.0,Tecnólogo,Saúde,6.0,1.0,Alemão,,6900.0,Sim,Não,,0.0
231,2022-07-03,Candidato_231,Outro,PR,56.0,Ensino Médio,,3.2,,Francês,8300.0,8000.0,Sim,Sim,Não,0.0
232,2022-05-03,Candidato_232,Feminino,,38.0,Tecnólogo,Saúde,7.3,2.0,Espanhol,6400.0,,Sim,Sim,Não,0.0
233,2023-02-05,Candidato_233,Masculino,BA,59.0,Tecnólogo,,2.2,,Nenhum,,7700.0,Sim,Não,Não,0.0
234,2022-10-21,Candidato_234,Feminino,PR,60.0,Doutorado,Engenharia,3.9,,Francês,8300.0,9700.0,Não,Não,Não,0.0
235,2022-10-07,Candidato_235,Outro,CE,58.0,Tecnólogo,Financeiro,6.2,,Francês,7400.0,8600.0,Sim,Sim,Não,0.0
236,2023-09-02,Candidato_236,,DF,26.0,Tecnólogo,,7.1,,Nenhum,6600.0,6700.0,Não,Não,Sim,0.0
237,2022-07-17,Candidato_237,Feminino,CE,41.0,Mestrado,Tecnologia,2.2,2.0,Inglês,,4100.0,Não,Não,Não,
238,2023-05-26,Candidato_238,Feminino,DF,54.0,Graduação,Engenharia,10.3,1.0,Nenhum,9800.0,10600.0,Não,Não,Não,1.0
239,2022-05-24,Candidato_239,Feminino,PE,58.0,Doutorado,Marketing,3.2,1.0,Alemão,5600.0,5100.0,Sim,Sim,Não,0.0
240,2023-09-01,,Masculino,DF,34.0,Doutorado,Tecnologia,,3.0,Nenhum,7200.0,6400.0,Não,Sim,Não,1.0
241,2022-07-20,Candidato_241,Feminino,CE,41.0,Doutorado,Administração,6.0,,Inglês,7700.0,8200.0,Não,Sim,Não,0.0
242,2022-05-04,Candidato_242,Feminino,DF,38.0,Mestrado,Financeiro,4.3,1.0,Nenhum,,5600.0,Não,Não,,1.0
243,2022-07-06,,Feminino,PE,56.0,Tecnólogo,Administração,4.0,0.0,Francês,9700.0,9500.0,Sim,Sim,,0.0
244,2022-11-22,Candidato_244,Outro,PE,58.0,Graduação,Financeiro,6.2,3.0,Espanhol,4600.0,4600.0,Não,Sim,,0.0
245,2023-04-09,Candidato_245,Outro,SP,56.0,Ensino Médio,Financeiro,,3.0,Francês,10500.0,10000.0,Sim,Não,Não,
246,2022-12-15,Candidato_246,Masculino,DF,30.0,Tecnólogo,Administração,1.6,3.0,Espanhol,,7300.0,Não,Não,Sim,0.0
247,2023-10-22,Candidato_247,Masculino,BA,28.0,,Tecnologia,3.8,0.0,Nenhum,6500.0,6100.0,,Sim,Não,
248,2023-02-07,Candidato_248,,,63.0,Tecnólogo,Tecnologia,7.2,0.0,Alemão,6500.0,6100.0,,Não,Não,0.0
249,2022-12-12,Candidato_249,Outro,RJ,36.0,Tecnólogo,Financeiro,3.9,0.0,Nenhum,2600.0,2600.0,Sim,Sim,Não,0.0
250,2023-05-26,Candidato_250,Outro,PE,28.0,Mestrado,Tecnologia,8.2,4.0,,5300.0,5700.0,Não,,Não,1.0
251,2022-05-27,Candidato_251,Feminino,MG,30.0,Doutorado,Financeiro,7.4,1.0,Nenhum,6300.0,7500.0,Não,Sim,Não,0.0
252,2022-05-28,Candidato_252,Feminino,RS,63.0,Doutorado,Recursos Humanos,5.6,3.0,Espanhol,7400.0,6300.0,Não,Não,Não,0.0
253,2023-12-12,,Outro,SC,62.0,Graduação,Financeiro,5.7,0.0,Francês,9500.0,10900.0,Sim,,Não,0.0
254,2023-05-04,Candidato_254,Feminino,DF,18.0,,Recursos Humanos,5.6,0.0,Alemão,11100.0,10100.0,Sim,Sim,Não,0.0
255,2023-10-02,Candidato_255,Feminino,CE,57.0,Doutorado,Engenharia,5.3,4.0,Nenhum,7500.0,7800.0,,Sim,Não,
256,2023-07-05,Candidato_256,Masculino,RJ,61.0,Ensino Médio,Educação,4.3,1.0,Nenhum,7400.0,,Não,Sim,Não,1.0
257,2022-12-04,,Outro,MG,36.0,Tecnólogo,Engenharia,4.5,2.0,Francês,6000.0,6100.0,Sim,Sim,Não,1.0
258,2023-10-03,Candidato_258,Outro,RS,29.0,Ensino Médio,Administração,2.9,4.0,Alemão,3600.0,3900.0,Sim,Não,Não,1.0
259,2023-04-18,,Feminino,DF,25.0,Tecnólogo,Educação,0.6,1.0,Nenhum,5800.0,5500.0,Não,Sim,Não,0.0
260,2022-05-31,Candidato_260,Outro,,,Doutorado,Saúde,7.2,0.0,Nenhum,6600.0,6100.0,Sim,Sim,Não,0.0
261,2023-02-19,Candidato_261,Masculino,SC,62.0,Graduação,Administração,5.3,1.0,Espanhol,9000.0,10300.0,Não,Não,Não,0.0
262,2022-10-25,Candidato_262,Masculino,RJ,,Graduação,Marketing,5.0,2.0,Espanhol,8000.0,7100.0,Sim,Sim,Não,1.0
263,2023-09-03,Candidato_263,Masculino,,,Ensino Médio,Engenharia,5.8,1.0,Inglês,7400.0,6500.0,,Sim,Não,1.0
264,2022-09-20,,Outro,SP,,,Tecnologia,3.3,1.0,Francês,5800.0,4700.0,,Sim,Não,0.0
265,2022-05-24,Candidato_265,Outro,MG,,Doutorado,Engenharia,3.0,1.0,Alemão,3000.0,2700.0,Não,Sim,Não,0.0
266,2022-12-12,Candidato_266,Outro,RJ,56.0,Ensino Médio,Tecnologia,4.4,,Nenhum,3200.0,3200.0,Sim,Sim,Sim,1.0
267,2023-09-16,Candidato_267,Outro,SP,45.0,Tecnólogo,Educação,,1.0,Nenhum,3700.0,3800.0,Não,Não,Não,0.0
268,2023-07-26,Candidato_268,Outro,SC,22.0,,,2.7,,Inglês,6400.0,5800.0,Não,Não,Não,
269,2022-01-02,Candidato_269,Masculino,BA,25.0,,Educação,-0.3,3.0,Nenhum,9000.0,7500.0,Sim,Não,Não,
270,2022-10-31,Candidato_270,,SP,42.0,Graduação,Marketing,4.0,1.0,Francês,8900.0,9800.0,Não,Não,,0.0
271,2022-09-11,Candidato_271,Masculino,PR,44.0,Tecnólogo,Engenharia,7.3,2.0,Inglês,8600.0,9500.0,Não,Sim,Sim,
272,2023-10-14,Candidato_272,Outro,BA,63.0,Ensino Médio,Tecnologia,1.5,0.0,Francês,6000.0,7200.0,Não,Não,Não,0.0
273,2023-03-29,Candidato_273,Masculino,MG,40.0,Tecnólogo,Educação,,1.0,,9300.0,10800.0,Sim,Não,Não,0.0
274,2022-02-06,Candidato_274,Outro,SC,47.0,Mestrado,Marketing,,,Nenhum,5100.0,6000.0,Sim,Não,Não,0.0
275,2022-06-09,Candidato_275,Outro,DF,,Doutorado,Financeiro,,1.0,Inglês,,9700.0,Sim,Não,Não,1.0
276,2022-01-09,Candidato_276,Masculino,CE,,Graduação,Administração,2.3,,Espanhol,3700.0,3900.0,Sim,,Não,0.0
277,2022-08-21,Candidato_277,Outro,CE,40.0,Ensino Médio,Administração,2.2,2.0,Alemão,4600.0,3900.0,Não,Não,Não,
278,2022-04-09,Candidato_278,Feminino,,64.0,Doutorado,Educação,5.7,0.0,Nenhum,,,Sim,Não,,0.0
279,2023-10-21,Candidato_279,Outro,RJ,37.0,Tecnólogo,Tecnologia,,4.0,Alemão,6600.0,5400.0,Sim,Não,Não,1.0
280,2022-07-27,Candidato_280,Feminino,MG,35.0,Ensino Médio,Financeiro,3.8,,Nenhum,5600.0,6500.0,Sim,Sim,Não,0.0
281,2022-05-11,Candidato_281,Feminino,SC,,Doutorado,Educação,1.8,1.0,Alemão,9200.0,9100.0,Não,Não,Não,0.0
282,2023-02-08,Candidato_282,Outro,BA,19.0,Ensino Médio,Engenharia,5.9,1.0,Espanhol,9400.0,10100.0,Não,Sim,,0.0
283,2022-06-01,Candidato_283,Masculino,RJ,21.0,Mestrado,Marketing,6.2,2.0,Alemão,6100.0,5000.0,Não,Não,Não,
284,2022-02-23,Candidato_284,Feminino,,47.0,Mestrado,Recursos Humanos,8.6,1.0,,7600.0,7700.0,Sim,Não,Não,1.0
285,2022-04-30,Candidato_285,Masculino,DF,50.0,Graduação,Engenharia,6.3,2.0,Alemão,,6700.0,Não,Não,Não,0.0
286,2023-11-04,Candidato_286,Feminino,PR,,Graduação,Administração,6.7,,Nenhum,1300.0,1200.0,Não,,Não,0.0
287,2023-09-20,,,SC,35.0,,Marketing,4.5,1.0,Francês,4200.0,4000.0,Sim,Sim,Não,1.0
288,2023-08-10,Candidato_288,,CE,54.0,,Educação,9.9,1.0,,8900.0,7100.0,Não,,Não,0.0
289,2023-09-17,Candidato_289,Feminino,SP,36.0,Mestrado,,4.2,5.0,Alemão,5300.0,5200.0,Sim,Sim,Não,1.0
290,2023-02-24,Candidato_290,Outro,SC,64.0,Graduação,Saúde,3.8,1.0,,8100.0,,Sim,,Não,0.0
291,2023-02-26,,Feminino,PE,45.0,Mestrado,Recursos Humanos,8.6,6.0,Nenhum,,8600.0,Não,Sim,Não,1.0
292,2022-04-14,,Outro,MG,57.0,Mestrado,,2.1,4.0,Alemão,9400.0,9200.0,Sim,Sim,Não,
293,2022-09-11,Candidato_293,,RS,37.0,Ensino Médio,Financeiro,1.3,2.0,,4300.0,4100.0,Sim,Sim,Não,1.0
294,2022-08-15,Candidato_294,,DF,50.0,Doutorado,Financeiro,5.2,1.0,Nenhum,7800.0,9300.0,Sim,Não,Não,
295,2022-04-22,Candidato_295,Masculino,PR,29.0,Graduação,Tecnologia,5.0,1.0,Francês,6900.0,7100.0,Sim,Sim,Não,0.0
296,2023-05-25,Candidato_296,,DF,32.0,Ensino Médio,,4.5,3.0,Inglês,5400.0,5300.0,Sim,Sim,Sim,0.0
297,2023-04-18,Candidato_297,Masculino,SC,58.0,Mestrado,Administração,7.0,2.0,,5400.0,5400.0,Sim,Não,Não,0.0
298,2022-04-09,Candidato_298,Outro,RS,56.0,Mestrado,Marketing,3.2,,Espanhol,7500.0,8400.0,Não,,Não,
299,2022-06-02,Candidato_299,Masculino,PE,,Doutorado,Tecnologia,5.1,4.0,Alemão,8300.0,7800.0,,Não,Não,0.0
300,2022-12-04,Candidato_300,Feminino,BA,46.0,Graduação,Saúde,4.3,2.0,Espanhol,7100.0,6800.0,Sim,Não,Não,0.0
301,2023-12-07,Candidato_301,Feminino,SP,58.0,Graduação,Educação,3.2,1.0,Alemão,7200.0,7900.0,Sim,Sim,Não,
302,2022-06-12,Candidato_302,Masculino,,27.0,Tecnólogo,Recursos Humanos,4.9,3.0,Francês,6000.0,5000.0,Sim,,Não,
303,2023-12-21,Candidato_303,Outro,MG,19.0,,Financeiro,6.7,2.0,Nenhum,6100.0,7000.0,Não,Sim,,
304,2023-11-12,Candidato_304,Masculino,CE,28.0,Doutorado,Recursos Humanos,9.2,4.0,Inglês,5400.0,5200.0,Não,Sim,Não,0.0
305,2022-06-10,Candidato_305,Outro,PE,30.0,Tecnólogo,Saúde,6.2,4.0,Nenhum,6000.0,6200.0,,Não,Não,0.0
306,2023-08-03,Candidato_306,Feminino,SP,27.0,Tecnólogo,Recursos Humanos,-0.0,1.0,Alemão,8200.0,9000.0,Não,Sim,Não,
307,2023-02-02,Candidato_307,Outro,PR,31.0,Mestrado,,4.9,4.0,,8400.0,7600.0,Sim,Sim,Não,1.0
308,2022-10-04,Candidato_308,Feminino,CE,35.0,Mestrado,Administração,,0.0,Nenhum,4400.0,5100.0,Sim,Não,Não,0.0
309,2023-05-19,Candidato_309,Outro,SC,26.0,Graduação,Engenharia,6.9,3.0,Inglês,,6200.0,Sim,Não,Não,
310,2023-01-27,Candidato_310,Outro,RS,56.0,Tecnólogo,Tecnologia,5.4,3.0,Alemão,5600.0,5600.0,Sim,Sim,Não,0.0
311,2022-05-15,Candidato_311,Outro,SP,45.0,Mestrado,Engenharia,,2.0,Francês,6900.0,,Não,Não,Não,0.0
312,2022-07-14,Candidato_312,Masculino,RJ,20.0,Doutorado,Recursos Humanos,5.8,3.0,Francês,3600.0,2900.0,,Não,Sim,0.0
313,2023-02-05,Candidato_313,Masculino,BA,37.0,Mestrado,Financeiro,8.1,,Nenhum,5200.0,6000.0,Sim,Não,,0.0
314,2023-10-02,Candidato_314,Feminino,BA,23.0,Mestrado,Saúde,4.1,4.0,Espanhol,4200.0,3900.0,Sim,,Não,0.0
315,2022-02-02,Candidato_315,Feminino,PE,44.0,Tecnólogo,Marketing,5.3,3.0,Alemão,7800.0,7200.0,Não,Sim,Não,0.0
316,2023-11-19,Candidato_316,Masculino,PR,19.0,Tecnólogo,Recursos Humanos,6.7,0.0,Nenhum,6900.0,6100.0,Não,Sim,Não,1.0
317,2023-04-05,Candidato_317,Feminino,PE,46.0,,Marketing,3.9,2.0,,6100.0,5700.0,Sim,Não,Não,1.0
318,2023-04-15,Candidato_318,Masculino,RJ,55.0,Doutorado,Administração,3.4,1.0,Francês,,4300.0,Não,,Não,0.0
319,2023-01-10,Candidato_319,Outro,MG,20.0,Tecnólogo,Marketing,3.7,0.0,Inglês,6100.0,7100.0,Sim,Não,Não,0.0
320,2022-01-22,Candidato_320,Feminino,PR,33.0,,Marketing,3.5,3.0,Alemão,5900.0,6800.0,Não,Não,Não,0.0
321,2023-11-01,Candidato_321,Feminino,,47.0,Doutorado,Financeiro,6.0,,Inglês,,8700.0,Não,Sim,Não,1.0
322,2022-02-07,Candidato_322,,MG,57.0,Doutorado,,1.3,1.0,Alemão,9000.0,7700.0,Não,Sim,,0.0
323,2022-08-18,Candidato_323,Feminino,PR,19.0,Tecnólogo,Recursos Humanos,1.9,,Espanhol,5600.0,6400.0,Não,,Não,0.0
324,2022-12-31,Candidato_324,Feminino,PR,34.0,Doutorado,Saúde,8.7,4.0,Francês,,7000.0,Sim,Sim,Não,0.0
325,2023-07-17,Candidato_325,Outro,RJ,58.0,Tecnólogo,Marketing,3.5,3.0,Espanhol,8900.0,7700.0,Sim,Não,,0.0
326,2023-03-14,Candidato_326,Feminino,SC,29.0,Mestrado,Educação,5.4,0.0,Nenhum,5600.0,5600.0,Não,Não,Não,0.0
327,2022-10-10,Candidato_327,Outro,RJ,52.0,Ensino Médio,Marketing,2.0,1.0,Francês,4200.0,4100.0,Sim,Sim,Não,1.0
328,2022-01-27,Candidato_328,Masculino,PR,60.0,Mestrado,Marketing,5.2,4.0,Nenhum,3400.0,3000.0,Não,Não,Não,0.0
329,2022-08-14,,Feminino,SP,,Tecnólogo,Engenharia,3.6,2.0,Espanhol,9500.0,10300.0,Não,Sim,Não,0.0
330,2022-10-04,Candidato_330,Outro,MG,62.0,Tecnólogo,Saúde,1.9,1.0,Alemão,6600.0,6900.0,Sim,,,0.0
331,2023-09-01,Candidato_331,Masculino,RJ,32.0,Mestrado,Recursos Humanos,,2.0,Nenhum,7600.0,,Sim,Sim,Não,0.0
332,2022-10-11,Candidato_332,Feminino,,43.0,Graduação,Administração,7.4,1.0,Inglês,5900.0,6900.0,Sim,Não,Não,0.0
333,2023-04-26,Candidato_333,Masculino,RS,54.0,Graduação,,4.8,3.0,Alemão,4500.0,4600.0,Não,,Não,0.0
334,2023-03-29,Candidato_334,Feminino,,38.0,Graduação,Recursos Humanos,7.0,3.0,Alemão,4800.0,4300.0,Sim,Sim,Não,0.0
335,2023-10-21,Candidato_335,Masculino,,48.0,Tecnólogo,Tecnologia,8.8,6.0,Espanhol,4300.0,3800.0,Sim,Sim,Não,1.0
336,2023-05-31,Candidato_336,Masculino,DF,42.0,,Saúde,6.5,,Espanhol,8700.0,7400.0,Sim,Sim,Não,
337,2023-07-01,Candidato_337,Outro,RS,40.0,Tecnólogo,Educação,6.0,3.0,Francês,10000.0,9700.0,Sim,Sim,Não,0.0
338,2022-07-11,Candidato_338,Masculino,BA,41.0,Doutorado,,,1.0,Francês,,6100.0,Não,Não,,1.0
339,2022-02-18,,Feminino,CE,55.0,,Tecnologia,6.3,4.0,,4000.0,3900.0,Não,Não,,1.0
340,2023-05-27,Candidato_340,Feminino,SC,45.0,Ensino Médio,,4.3,2.0,Alemão,8000.0,6900.0,Não,Sim,Não,0.0
341,2022-01-17,Candidato_341,Outro,DF,38.0,Doutorado,Tecnologia,4.4,3.0,Inglês,9500.0,10100.0,Não,Sim,,0.0
342,2022-06-21,Candidato_342,Feminino,CE,60.0,Graduação,,5.9,1.0,,8900.0,9900.0,Não,Não,Não,0.0
343,2022-08-08,Candidato_343,Feminino,SC,35.0,Tecnólogo,Administração,4.1,2.0,,6900.0,7000.0,Não,Sim,Não,0.0
344,2022-06-07,Candidato_344,Feminino,,53.0,Mestrado,,4.3,2.0,,6500.0,7000.0,Não,,Não,
345,2023-04-22,Candidato_345,Masculino,PE,52.0,Graduação,Saúde,5.0,2.0,Inglês,6900.0,8100.0,Sim,Não,Não,0.0
346,2022-02-15,Candidato_346,Masculino,RS,62.0,Mestrado,Recursos Humanos,7.3,1.0,Nenhum,9500.0,,Não,Sim,Sim,0.0
347,2023-01-08,,Feminino,MG,26.0,,Financeiro,2.7,4.0,Francês,8500.0,,Não,Não,Não,0.0
348,2023-06-02,Candidato_348,Outro,,55.0,Tecnólogo,Recursos Humanos,6.5,1.0,,6200.0,6100.0,,Não,Não,0.0
349,2022-04-09,,Masculino,MG,47.0,Tecnólogo,Marketing,6.6,1.0,Alemão,,7100.0,Não,Não,Não,0.0
350,2022-02-06,Candidato_350,Outro,PE,61.0,Ensino Médio,Marketing,6.6,,Francês,6000.0,5100.0,Sim,,Não,0.0
351,2022-10-07,Candidato_351,Feminino,PR,51.0,Tecnólogo,Educação,3.4,2.0,,4900.0,4600.0,Não,Sim,Não,0.0
352,2022-12-15,,Feminino,BA,49.0,Doutorado,Tecnologia,1.6,5.0,Nenhum,9700.0,10000.0,Não,Não,Sim,1.0
353,2023-05-12,Candidato_353,Masculino,RS,,Mestrado,Administração,6.1,0.0,Francês,5400.0,5800.0,Sim,Não,Não,1.0
354,2022-10-29,Candidato_354,Feminino,PE,20.0,Graduação,Educação,5.4,0.0,Nenhum,8000.0,8800.0,Não,Não,Não,1.0
355,2022-06-30,Candidato_355,Masculino,PE,45.0,Ensino Médio,Engenharia,7.0,2.0,Francês,5700.0,5300.0,Não,Sim,Não,1.0
356,2023-08-30,Candidato_356,Feminino,SP,61.0,Doutorado,,3.6,1.0,Francês,6000.0,5200.0,Não,Sim,Não,1.0
357,2022-04-09,Candidato_357,Feminino,CE,32.0,Graduação,Financeiro,6.5,4.0,Nenhum,6800.0,8000.0,Não,Sim,Não,0.0
358,2023-12-01,,Masculino,BA,58.0,Graduação,Administração,,4.0,Inglês,8100.0,6700.0,Não,Não,Não,0.0
359,2022-04-26,Candidato_359,Masculino,RS,40.0,Ensino Médio,Marketing,4.8,2.0,Inglês,6500.0,5400.0,Não,Sim,Não,0.0
360,2022-07-10,Candidato_360,Masculino,PR,57.0,Doutorado,Recursos Humanos,5.8,1.0,Inglês,4700.0,4700.0,Não,,Não,0.0
361,2022-09-10,Candidato_361,Feminino,PR,28.0,Graduação,Financeiro,5.8,1.0,Inglês,7000.0,7900.0,Sim,,Não,0.0
362,2022-06-10,Candidato_362,,RJ,49.0,Graduação,Administração,3.4,4.0,Francês,5500.0,6100.0,Sim,Não,Não,1.0
363,2022-09-13,,Outro,PE,53.0,Doutorado,Financeiro,6.1,1.0,Espanhol,10100.0,11900.0,Não,Sim,Não,0.0
364,2022-11-19,Candidato_364,Masculino,SC,50.0,Tecnólogo,Financeiro,8.2,8.0,Nenhum,6500.0,5600.0,Sim,Sim,Não,0.0
365,2022-05-08,Candidato_365,Feminino,SP,41.0,Graduação,Tecnologia,5.0,0.0,Espanhol,5700.0,,Não,Sim,Não,0.0
366,2022-01-18,Candidato_366,Feminino,BA,56.0,Mestrado,,2.1,,Espanhol,10900.0,10000.0,Sim,Não,Não,0.0
367,2023-07-20,Candidato_367,Masculino,,51.0,Doutorado,Tecnologia,3.6,3.0,Alemão,8500.0,9700.0,,Não,Não,1.0
368,2023-07-24,Candidato_368,Outro,,45.0,Graduação,Engenharia,1.4,1.0,Inglês,5200.0,5200.0,Sim,Sim,,0.0
369,2022-11-19,Candidato_369,Masculino,RJ,,Ensino Médio,Financeiro,7.6,3.0,Francês,5400.0,4400.0,Não,Sim,Não,
370,2023-11-17,Candidato_370,Outro,RS,24.0,Mestrado,Educação,6.5,2.0,Inglês,7900.0,8600.0,Sim,Sim,,0.0
371,2023-09-18,Candidato_371,Feminino,SP,21.0,Graduação,Recursos Humanos,4.0,,Inglês,7100.0,6800.0,Sim,Não,Não,1.0
372,2022-10-15,,Outro,SC,54.0,Mestrado,Marketing,2.2,1.0,Espanhol,8800.0,,Não,Não,Não,0.0
373,2023-10-25,Candidato_373,,,18.0,Mestrado,,3.3,2.0,Alemão,5700.0,6600.0,,Sim,Não,0.0
374,2023-10-01,Candidato_374,Masculino,RJ,18.0,Tecnólogo,Engenharia,3.7,0.0,Inglês,8400.0,,Sim,Não,Não,1.0
375,2022-06-04,Candidato_375,Masculino,CE,64.0,Mestrado,Engenharia,5.2,1.0,Nenhum,2500.0,2200.0,Sim,Sim,Sim,0.0
376,2023-05-05,,Masculino,BA,37.0,Tecnólogo,Engenharia,,0.0,Nenhum,6700.0,6100.0,,Não,Não,0.0
377,2023-01-21,Candidato_377,Outro,RJ,36.0,Doutorado,Financeiro,7.7,5.0,Inglês,5800.0,5400.0,Sim,Sim,Não,0.0
378,2022-04-14,Candidato_378,Feminino,CE,46.0,,,3.6,4.0,Espanhol,6100.0,5100.0,,Não,Sim,1.0
379,2023-01-28,Candidato_379,Masculino,CE,27.0,Ensino Médio,Educação,2.0,3.0,Espanhol,6800.0,7300.0,Sim,Sim,Não,0.0
380,2022-09-03,Candidato_380,Masculino,SP,35.0,Graduação,Administração,2.7,1.0,Francês,9300.0,8200.0,Sim,Não,Não,0.0
381,2022-06-25,Candidato_381,Feminino,MG,45.0,Doutorado,Marketing,5.0,2.0,Alemão,4700.0,5500.0,Não,Sim,Não,0.0
382,2022-02-08,Candidato_382,Masculino,RS,52.0,Doutorado,Financeiro,3.5,1.0,Espanhol,2600.0,2300.0,Não,Sim,Não,0.0
383,2023-04-22,Candidato_383,Feminino,SC,60.0,Ensino Médio,Engenharia,4.4,4.0,Francês,4900.0,4400.0,Não,Sim,Não,0.0
