nome,idade,cidade,data_nasc,renda_mensal,comprou
Ana,69.0,BA,20/06/1995,4979.89,0
Isabella,30.0,RJ,07/02/1971,,0
Clara,,RJ,29/02/1976,10441.09,1
Maria Sophia,58.0,SP,20/02/2000,,0
Alana,57.0,SP,09/10/1991,11593.83,1
Ana Carolina,40.0,RS,24/06/1962,,1
Lucas Gabriel,57.0,BA,07/06/1997,10705.86,0
Enzo Gabriel,63.0,SC,22/08/1993,7227.62,0
Maysa,55.0,SC,17/06/1961,8940.54,0
Manuela,38.0,MG,02/12/1963,,0
Diego,25.0,BA,18/08/1973,14811.88,0
João Gabriel,27.0,PR,04/03/1997,,0
Emanuelly,26.0,BA,01/01/1992,5566.43,1
Lucas,49.0,SP,14/10/1989,,0
Maria Clara,49.0,RJ,14/03/1968,13030.29,1
Pedro Miguel,,SP,22/12/1964,9181.6,0
Ana Vitória,40.0,SC,17/02/1981,,0
Helena,30.0,MG,05/11/1971,11886.5,1
Ryan,50.0,,30/02/1993,,1
Otávio,49.0,SP,01/02/1963,9160.34,1
Calebe,46.0,MG,22/08/1956,6220.36,0
Eloah,54.0,MG,03/09/1973,8128.78,0
Joana,32.0,RJ,29/01/2001,10154.98,0
Isaac,,SP,30/11/2001,6053.86,0
Diego,67.0,MG,22/07/1972,11758.12,0
Isadora,67.0,RJ,16/09/1991,7531.77,0
Miguel,25.0,BA,03/04/2004,,1
Sofia,52.0,RJ,23/10/1968,12862.26,1
Ana Beatriz,66.0,RS,03/01/1969,10888.88,0
Laura,46.0,MG,18/07/1973,12321.97,0
Marina,24.0,MG,13/03/1972,,1
Júlia,20.0,RS,27/08/1960,11549.22,0
Catarina,70.0,RJ,24/10/1968,8146.39,0
João Guilherme,25.0,SP,25/03/1996,12953.53,1
Stephany,65.0,SP,23/11/1993,,0
Lara,57.0,BA,20/06/1996,13017.53,0
Stephany,26.0,MG,03/10/1979,12153.77,1
Bryan,69.0,,09/01/2001,12521.77,1
Diogo,52.0,MG,28/08/1994,,0
,28.0,SP,26/05/1986,4893.01,0
Manuela,36.0,SP,27/07/1969,13656.89,0
Henrique,50.0,SP,04/12/1979,1257.37,0
Maria Clara,,RJ,13/02/2004,,0
Luiz Fernando,35.0,MG,17/12/1960,8361.69,0
Emanuelly,26.0,RJ,15/03/1985,14436.42,1
Pedro Lucas,38.0,RJ,07/01/1987,,1
Raquel,61.0,PR,13/09/1974,6627.78,0
João Lucas,54.0,RJ,22/06/1988,9174.38,0
,42.0,RJ,20/11/1974,6587.68,0
Maria Sophia,68.0,BA,26/09/1986,5590.12,1
Daniel,65.0,,24/08/2006,2574.18,0
Ana Sophia,41.0,RJ,26/08/1955,9913.89,0
João Miguel,38.0,MG,29/03/1971,9856.99,0
Catarina,64.0,RS,06/07/1973,3394.93,0
Vitor Hugo,47.0,PR,22/10/1967,,0
Ana,68.0,SP,09/02/1999,,1
Emanuella,45.0,PR,15/11/1973,10964.55,0
Pedro Henrique,38.0,RJ,23/12/1958,1549.0,0
Luiz Gustavo,54.0,SP,05/06/1986,9955.59,0
Marcelo,49.0,RJ,25/12/1963,,1
Calebe,66.0,SC,05/04/1987,,0
Gabrielly,,RJ,13/12/1963,12337.94,0
Carlos Eduardo,,RJ,13/10/2006,10297.76,0
Bruno,45.0,MG,28/06/1972,3184.02,1
João,26.0,SP,25/03/2002,9195.09,1
Yago,35.0,SP,21/11/1982,13995.35,0
Pietra,34.0,SP,08/09/1983,,0
Thales,59.0,SP,15/07/1967,,1
Laura,,SP,13/09/1969,4070.02,1
Henrique,66.0,SP,18/08/2000,1503.01,0
Giovanna,23.0,MG,09/05/1965,9834.42,1
Davi Lucas,48.0,SP,11/05/1991,6378.51,1
Cauã,,RJ,02/07/1961,7422.12,1
Lorenzo,18.0,RS,01/08/1985,,0
Natália,70.0,RJ,17/01/1969,9910.74,0
Lorenzo,45.0,MG,03/09/1983,,0
Lorenzo,32.0,SP,18/08/1990,9673.27,0
Eduardo,69.0,SP,17/06/2005,11435.42,0
Letícia,,SP,16/05/2002,1607.86,1
João Guilherme,67.0,SP,10/11/2005,11701.26,1
Maria Sophia,61.0,SP,22/08/1975,2784.08,1
Luiz Felipe,54.0,SP,30/12/1966,3112.2,0
Pedro Miguel,28.0,SP,06/08/1977,14169.9,1
Ian,31.0,SP,17/05/1975,3949.48,0
Enzo Gabriel,57.0,RJ,23/02/1986,8810.66,1
Emanuella,23.0,SP,04/11/1959,12364.36,1
Ana Clara,,RJ,14/04/1971,6719.2,0
,40.0,RJ,03/05/1958,,0
Vicente,26.0,MG,09/12/1972,2619.95,1
Bárbara,23.0,SP,16/06/1987,,0
Lavínia,56.0,BA,18/09/1972,7356.98,1
Renan,62.0,MG,15/02/1969,9796.17,1
Luana,60.0,SP,03/11/2003,9026.56,1
Enzo,56.0,RS,,12506.92,0
Ana Júlia,36.0,PR,09/11/1990,,0
Alice,68.0,SP,08/09/2001,5249.93,0
Alana,25.0,SP,06/08/1957,2782.17,0
Mariane,56.0,BA,23/09/2002,3765.63,0
Ian,18.0,MG,05/05/1986,,0
Sabrina,26.0,SP,12/05/1982,5539.45,1
Luana,54.0,SP,24/06/2000,1350.43,0
Amanda,61.0,RJ,28/06/1998,,1
Murilo,67.0,RJ,20/12/1969,8950.64,0
Ana Clara,22.0,MG,13/12/1954,,0
Eloah,20.0,RJ,20/10/1963,5037.07,1
Sofia,43.0,RJ,25/06/2002,10118.53,0
Arthur,50.0,MG,30/02/1993,5617.68,1
Pedro Henrique,43.0,SP,21/06/1987,8016.29,1
Eduardo,52.0,SP,01/05/1978,7013.07,0
Luana,37.0,,12/06/1986,9499.74,1
Joaquim,31.0,MG,23/06/1977,1493.51,1
Gabriel,43.0,RS,29/11/1969,13014.22,1
Lorenzo,45.0,RJ,23/09/1996,5124.25,1
Luigi,,RJ,25/04/1994,8561.84,0
Kevin,,SP,11/02/1961,1424.56,0
Sophia,,RJ,07/08/1969,,0
Luiz Fernando,29.0,RJ,17/06/1976,,0
Emanuelly,,SP,18/05/1958,,0
Maria Eduarda,,SP,18/07/1961,6627.92,0
Maria Julia,68.0,RJ,01/09/2000,10047.14,0
João Gabriel,26.0,SP,15/07/1954,14140.31,1
Fernando,25.0,RJ,06/05/1973,1860.11,0
Kevin,45.0,SP,16/07/1989,,0
Lavínia,34.0,RJ,08/05/1977,,0
Theo,50.0,SP,16/04/1974,8618.31,0
Bianca,54.0,RS,28/01/1974,13178.61,0
João Vitor,34.0,MG,22/05/2006,1794.45,0
Anthony,61.0,MG,22/03/1997,2235.58,1
Bianca,50.0,,22/09/1963,12124.46,1
Júlia,18.0,BA,26/01/1956,,0
Benjamin,,RJ,27/03/1972,2854.64,1
Bruno,29.0,SP,22/05/1960,11591.88,0
Thales,63.0,RJ,04/11/1968,10421.65,0
Pietra,33.0,MG,12/05/1956,10325.51,1
,38.0,MG,24/01/2007,11285.93,0
Ana Vitória,54.0,RJ,20/09/1982,11773.59,0
Cecília,61.0,,banana,12730.48,0
Clara,69.0,SP,06/07/1971,11346.7,0
Emilly,22.0,SP,24/06/1962,2236.99,0
Marcos Vinicius,67.0,RJ,14/03/1965,,1
Ana Lívia,53.0,MG,20/03/1992,6513.83,0
Bryan,,MG,30/01/2003,,1
Enrico,37.0,RJ,16/01/1977,5503.19,1
Milena,55.0,SC,22/09/1962,12899.74,0
Luiza,67.0,MG,20/11/1955,4219.23,0
Sofia,52.0,SP,30/06/1954,7443.56,1
Maria Fernanda,44.0,SP,16/08/1979,3793.76,1
Murilo,40.0,SP,23/10/1973,10670.47,1
João Felipe,18.0,SP,06/10/1997,13291.51,0
Pietro,64.0,SP,23/02/1962,,0
Raquel,51.0,SP,26/12/1976,,0
João Vitor,21.0,SP,16/11/1955,2832.9,1
Juliana,23.0,SP,25/01/1967,4126.51,0
Raul,51.0,RS,13/11/1960,8209.39,0
Luiz Gustavo,41.0,SP,31/08/2004,6302.97,0
Paulo,23.0,RJ,15/11/1983,11301.62,1
João Miguel,58.0,RJ,14/08/1993,,0
Erick,54.0,SC,26/03/2003,8507.97,1
João Guilherme,26.0,SP,,2706.75,0
Pietro,38.0,RJ,23/08/1957,14433.81,0
Alice,65.0,SC,12/09/2001,,0
Kevin,35.0,RS,10/12/1990,,1
Guilherme,30.0,BA,30/07/2000,,0
Luiz Henrique,55.0,SP,26/02/1982,2598.0,1
Heitor,28.0,SP,29/05/1968,3560.2,0
Juliana,44.0,MG,15/03/1964,5174.3,0
Ana Júlia,67.0,,13/04/1975,2500.55,0
Vitor Hugo,47.0,PR,30/12/1971,12965.38,1
Eduarda,23.0,MG,09/12/1960,,0
Rodrigo,37.0,MG,24/02/2005,,1
Camila,38.0,SP,03/12/1959,10391.23,1
Ryan,,BA,09/09/2000,3649.71,0
Isabel,21.0,SP,16/01/1990,3556.01,0
Sophia,29.0,RJ,08/03/1980,14579.67,1
Ana Sophia,46.0,RJ,26/08/2000,4615.64,0
Eduarda,24.0,RJ,26/03/2007,,0
Maria Luiza,21.0,,03/07/1986,8448.71,0
Fernando,,SP,30/07/2005,11898.54,1
Evelyn,58.0,SP,10/06/1995,11359.37,1
Lara,34.0,MG,07/11/2003,6040.78,0
Lavínia,22.0,SP,19/01/1997,4698.81,0
Maitê,46.0,MG,18/04/1995,,1
Maitê,,SP,12/12/2000,11888.46,0
Leonardo,47.0,RJ,10/08/1976,10663.82,0
Brenda,54.0,RJ,09/12/1982,,0
Bernardo,43.0,SP,07/09/1980,3154.54,0
Yago,,RJ,19/11/1980,,0
Antônio,31.0,SP,24/08/2003,11472.24,1
Carolina,46.0,SP,13/02/2004,6413.34,1
Marcelo,,SC,02/08/1996,13304.59,1
Levi,36.0,RJ,22/09/1961,13290.08,0
Bianca,53.0,BA,04/02/1975,,0
Maria Cecília,,SP,,6958.66,0
Eduardo,,MG,11/02/1958,1767.18,1
Gustavo,51.0,BA,23/09/1970,2896.87,0
Valentina,69.0,MG,07/06/1954,12136.85,0
Murilo,68.0,RJ,18/11/1963,,1
Mariana,68.0,RJ,28/04/1967,3230.41,0
Luiz Fernando,54.0,RJ,23/08/1971,5198.99,1
Esther,29.0,PR,31/05/2006,5177.99,0
Raul,32.0,BA,,,0
Vinicius,67.0,SC,30/02/1993,2903.41,0
Maria Eduarda,,SP,01/01/1962,7138.46,0
Raquel,55.0,MG,21/05/1963,,0
Samuel,24.0,PR,28/09/1959,8127.51,0
Carolina,35.0,SP,02/08/2005,11042.12,1
Letícia,32.0,SP,27/04/1989,3914.84,0
Stella,29.0,MG,01/08/1970,,1
Levi,38.0,MG,08/07/1965,,1
Joaquim,19.0,BA,29/12/1974,14543.31,0
Carlos Eduardo,54.0,SP,19/11/1967,13898.68,1
Luigi,30.0,BA,13/04/1957,,1
Cauã,29.0,SP,23/05/2000,3120.63,0
Melissa,21.0,SP,14/11/1978,,1
Pedro Miguel,19.0,SP,14/03/2002,2381.25,1
Luigi,57.0,BA,30/01/2002,6388.33,0
Eduardo,39.0,MG,24/06/2003,,1
Pedro Miguel,38.0,RJ,02/04/2007,10655.25,1
Maria Sophia,,RJ,14/02/1989,7101.83,0
Antônio,67.0,RS,05/03/1985,7565.72,0
Fernanda,41.0,RJ,26/04/1996,7008.68,0
João Felipe,60.0,BA,26/06/1971,5372.98,0
Bernardo,39.0,RJ,05/12/1983,6348.93,0
João Miguel,28.0,RJ,19/05/2006,,0
Alice,49.0,RJ,13/03/1955,1282.15,1
Pedro Miguel,53.0,RJ,16/08/1997,2368.3,1
Maria Luiza,55.0,MG,13/05/1962,10168.34,1
Rafaela,64.0,RJ,31/08/1987,12542.77,0
Alana,64.0,SP,02/02/1961,13127.53,1
Calebe,54.0,RS,25/02/1976,10506.9,1
Benjamin,67.0,RJ,24/11/1961,8324.44,0
Larissa,38.0,RJ,13/11/1954,,0
Calebe,24.0,PR,20/10/1968,5490.29,1
Luiz Otávio,65.0,MG,19/09/1969,9806.56,0
Pedro,38.0,SP,06/08/1978,1200.49,1
Marcos Vinicius,23.0,PR,01/12/1960,4611.44,1
Olivia,34.0,MG,07/04/1962,12691.63,0
Caio,22.0,RJ,05/08/1985,13979.41,0
Letícia,24.0,SP,07/07/1954,14761.21,1
Pedro,,BA,17/05/1987,8744.73,0
Rafaela,28.0,MG,26/05/1982,9716.79,0
João Felipe,42.0,RJ,09/04/1995,,0
Davi Lucca,24.0,RS,29/09/1988,10273.02,1
Raquel,54.0,BA,25/09/1980,10854.88,1
Clara,22.0,SP,06/12/1998,5202.5,1
Augusto,38.0,RJ,25/03/1956,8002.91,1
Isadora,22.0,SP,12/09/1989,10827.61,0
Isabelly,42.0,MG,01/07/1970,12426.21,0
Lívia,53.0,SP,25/05/2006,,1
Manuela,57.0,MG,27/09/1964,,0
Eloah,45.0,BA,24/03/1990,,1
Lara,45.0,RS,20/09/1976,11178.3,0
Ryan,39.0,RJ,30/03/1991,,0
Agatha,44.0,,30/02/1993,10945.9,1
Lavínia,37.0,BA,20/09/2001,3608.06,0
Fernando,,SP,24/06/1981,11125.09,0
Leonardo,49.0,BA,07/01/1989,13049.56,1
Rafaela,,SP,12/07/1982,,1
Luigi,,RJ,04/11/1958,2141.3,1
Mariane,48.0,BA,25/08/1996,7710.18,1
Maria Sophia,31.0,SP,11/08/1980,13998.29,0
Maria Alice,23.0,SP,16/09/1969,,0
Nathan,37.0,MG,01/02/1992,12652.43,0
Emilly,60.0,MG,04/05/1985,,1
Maria Vitória,,MG,16/04/1959,,0
Pedro Lucas,42.0,MG,24/11/1974,7774.5,1
Beatriz,20.0,RJ,21/04/1990,12358.07,1
Alexia,34.0,SP,31/01/1962,,0
Helena,54.0,RJ,01/06/1977,6996.77,0
Augusto,62.0,SP,13/10/2006,4656.68,0
Melissa,,PR,02/01/1976,2205.77,1
Vitor Gabriel,66.0,MG,07/07/1991,12801.38,0
Gabrielly,42.0,RJ,29/06/1964,10842.42,0
Mariana,61.0,RJ,29/10/1979,,1
Samuel,33.0,PR,12/01/2007,,1
Enrico,43.0,SP,01/09/1957,,0
João Felipe,51.0,MG,24/07/1997,12359.68,1
Enrico,,RJ,24/01/1967,1534.55,0
Alana,28.0,,27/02/1991,12378.12,1
Alexia,26.0,MG,13/02/1986,6830.78,0
Thiago,61.0,SP,16/01/2001,10616.58,0
Pedro Miguel,70.0,RS,11/10/1963,,0
Vitória,34.0,PR,13/06/1994,6119.5,0
Nicolas,69.0,MG,18/04/1956,7256.52,1
Isabel,,MG,,9054.3,1
Noah,35.0,PR,20/11/1981,5315.53,0
Pedro,18.0,MG,16/12/1958,1910.41,0
Heitor,27.0,SP,31/05/2002,,0
Rodrigo,55.0,MG,30/06/1964,4669.07,0
Alice,54.0,MG,13/02/1978,,1
Leonardo,52.0,RJ,10/02/2002,,1
Maria,34.0,MG,07/10/1962,1981.75,0
Yasmin,54.0,PR,02/04/1987,14129.59,0
Lara,,PR,01/09/1954,1645.39,1
Davi Lucca,,RJ,06/01/1977,5816.67,0
Laís,20.0,SP,26/11/2001,,1
Caio,39.0,SC,24/04/1991,10354.04,0
Maria Luiza,,BA,04/10/1963,2206.18,0
Olivia,19.0,SP,26/03/2007,2176.53,0
Bruno,37.0,PR,19/06/1976,9651.57,0
Larissa,49.0,RS,05/03/2005,7807.05,0
Luiz Otávio,32.0,RJ,23/05/1994,1776.03,1
Emanuel,65.0,MG,24/11/1995,4308.38,1
Henrique,38.0,RJ,06/09/1958,5387.17,0
Emanuel,56.0,SP,02/12/1980,,0
Theo,31.0,RJ,07/12/1965,13072.06,1
João Gabriel,66.0,BA,10/11/1958,1919.54,0
João Felipe,50.0,SP,20/01/1964,7130.12,0
Letícia,,RJ,08/10/1992,2795.05,0
Gabriela,67.0,RJ,30/02/1993,14758.98,0
Juliana,30.0,RJ,17/07/1985,5935.13,0
João Pedro,47.0,PR,14/11/1985,2469.47,0
Brenda,63.0,RJ,30/12/1998,11515.16,1
Isabel,70.0,RJ,08/06/1955,1405.6,0
Theo,58.0,MG,09/05/1994,2257.24,1
Laura,33.0,RJ,04/07/1973,5099.82,0
Manuela,46.0,SP,13/02/1967,10241.88,0
Olivia,48.0,RJ,15/03/1974,2990.08,0
Thiago,34.0,SP,08/01/1957,2888.79,1
Lívia,42.0,SP,27/12/1956,,1
Stella,54.0,RJ,29/01/1989,11346.02,0
Isadora,59.0,RJ,11/09/1986,13050.89,0
Caio,35.0,,16/08/1980,14191.69,0
Marina,67.0,PR,04/03/1985,4570.04,1
Lavínia,26.0,RJ,30/02/1993,8671.58,0
Luiz Gustavo,18.0,MG,06/05/1999,,0
Isis,69.0,MG,21/10/1978,,0
João Pedro,63.0,,18/12/1960,8389.73,0
Larissa,42.0,SP,22/09/2002,4108.62,0
Pietro,31.0,,15/11/1984,12073.57,1
Luiz Miguel,51.0,MG,15/07/1968,10837.12,1
Isabelly,18.0,SP,29/01/1973,1493.8,1
,56.0,SC,09/02/1958,,0
Mariana,24.0,SP,16/02/1973,2366.01,1
Bryan,,RJ,24/02/1987,6498.32,0
Benjamin,35.0,SP,13/11/1986,6508.35,0
João Miguel,59.0,,11/04/1964,,0
João Vitor,51.0,SC,24/09/1994,10313.55,1
Rodrigo,69.0,RJ,28/08/2006,5999.7,0
Maria Eduarda,61.0,MG,18/03/1988,11611.8,0
Renan,59.0,SP,24/02/1998,13722.8,1
Maria Luiza,34.0,MG,30/09/1970,5905.03,0
Rafael,65.0,SP,10/02/2004,12000.05,0
Júlia,54.0,RS,24/07/1967,8835.46,0
Gustavo Henrique,63.0,SP,12/09/1982,14144.07,0
Luiz Fernando,58.0,SP,06/10/1967,11125.24,1
Ana Sophia,60.0,SP,13/03/1988,,0
Daniela,28.0,,22/04/1969,,1
Luiz Fernando,48.0,RJ,11/05/1973,,0
Renan,64.0,MG,15/09/1973,6645.5,0
Emanuella,39.0,SP,01/02/1991,10297.37,0
Laís,32.0,BA,31/12/1982,,0
Juan,39.0,RJ,21/07/1980,12896.78,1
Nathan,36.0,RJ,11/03/1996,7270.75,1
Lucas Gabriel,48.0,RJ,11/12/1960,,1
Leonardo,55.0,RJ,07/06/1956,9198.07,0
Benício,30.0,MG,28/03/2002,,0
Elisa,42.0,SP,05/06/1993,7278.07,1
Nicole,27.0,SP,23/08/1994,5010.79,1
Maria,39.0,RS,05/07/1970,,1
Lorenzo,47.0,PR,29/03/1957,10252.5,1
Eduardo,63.0,RJ,26/07/1975,,1
Juliana,49.0,SP,23/10/2002,1778.99,0
Murilo,29.0,MG,30/02/1993,,0
Ryan,18.0,RJ,,1422.43,0
Danilo,66.0,SP,10/11/1959,1817.32,1
Agatha,28.0,SP,14/01/1964,2269.21,0
Diego,67.0,MG,26/10/1972,,0
Pedro,,MG,06/02/1986,6324.76,0
Arthur,45.0,SP,19/03/2002,,0
Nicolas,20.0,SP,26/09/1981,,0
João Lucas,18.0,SP,17/04/1955,6832.3,0
Nathan,51.0,MG,banana,14634.32,1
Ana Clara,,SP,11/02/2001,,1
Ana Vitória,32.0,SP,03/05/1958,1552.39,1
Diogo,24.0,,27/07/1977,8248.99,0
Daniela,37.0,BA,20/11/1957,6427.99,0
Pedro Lucas,,SP,28/05/2000,3271.03,0
Gustavo,47.0,MG,,14429.03,0
Enzo,61.0,SP,19/09/2000,14969.82,1
Maria,49.0,SP,16/02/1972,2873.14,1
Lucas,28.0,SP,24/12/1965,10296.93,1
Danilo,,MG,09/03/1972,3891.33,0
Lavínia,31.0,RS,13/04/2005,5735.85,1
Isabella,28.0,BA,27/02/1991,5544.47,0
Stella,59.0,RJ,06/07/1997,7341.1,0
Eloah,58.0,MG,11/05/1957,6057.39,1
Lucas,57.0,SP,banana,10215.95,0
Maria Julia,21.0,SP,18/04/1988,6980.13,0
João Gabriel,19.0,RS,07/01/1993,4580.23,0
Stephany,44.0,SP,27/02/1963,10389.46,1
Stella,53.0,SP,25/03/1999,5913.69,0
Milena,27.0,SP,09/12/1965,,1
Caio,58.0,SP,17/11/1962,9930.29,0
Alícia,60.0,SP,11/11/1980,13294.4,0
Maria Luiza,35.0,MG,23/05/1975,,0
Giovanna,24.0,RJ,26/04/2005,2944.29,0
Brenda,68.0,RS,10/09/1984,1530.25,0
Beatriz,56.0,BA,11/02/1981,3026.81,0
Cecília,51.0,RJ,04/11/1998,6090.28,0
Maria,44.0,SP,06/06/1959,4531.8,1
João Lucas,53.0,RJ,27/10/1961,,0
Arthur,62.0,MG,05/01/2005,9709.49,1
Isadora,18.0,SP,01/04/1970,,0
Fernando,25.0,,27/05/1996,9905.48,0
Alexia,,MG,16/09/1996,,0
,64.0,RJ,16/01/2001,11187.16,0
João Gabriel,59.0,MG,08/10/1969,,0
Luiz Fernando,36.0,,11/12/1993,7458.67,0
Carolina,24.0,RJ,09/05/1989,8219.61,0
Emanuella,36.0,SP,19/08/1963,2537.2,0
Elisa,38.0,PR,23/01/1978,1866.37,0
Vitor Hugo,24.0,BA,20/04/1988,,1
Pietra,,SP,24/04/1993,1778.7,0
Davi Lucas,39.0,RS,02/08/1994,5039.94,1
Vicente,57.0,RJ,,5130.12,1
,23.0,RS,04/11/1955,,0
Maria Julia,29.0,BA,17/02/1983,5181.01,1
Davi Luiz,47.0,RJ,18/09/1981,11597.87,1
Maria Luiza,62.0,SP,03/02/1975,3145.84,0
Ana Vitória,59.0,SP,24/04/1975,8220.03,0
Henrique,,RJ,04/05/1971,,1
Carolina,28.0,MG,07/05/1979,12688.56,1
Bernardo,55.0,SP,31/12/1999,5089.36,0
Leonardo,61.0,SP,18/07/1996,8388.34,0
Lucca,42.0,BA,16/10/1980,2712.69,0
Alice,61.0,SC,22/12/1988,7165.27,0
Helena,49.0,RJ,17/01/1972,,1
Samuel,46.0,SP,10/03/1990,2807.18,0
Júlia,,SP,16/07/1956,11471.03,1
Sofia,,SP,25/01/1963,5714.2,0
Sabrina,54.0,PR,17/10/1994,9902.61,0
Vitor Hugo,60.0,SP,16/01/1993,5544.38,0
Luna,62.0,MG,05/06/1996,14066.68,0
Juan,64.0,SP,07/06/2000,8902.75,0
Vinicius,60.0,MG,05/02/1991,9856.53,1
Vinicius,,MG,banana,,1
Miguel,57.0,BA,,4860.95,0
Carlos Eduardo,,SP,11/07/1971,3782.05,0
Catarina,49.0,SP,29/05/2005,3940.31,1
Bruno,,SP,21/09/1983,13028.76,0
Kaique,35.0,PR,23/07/2006,,0
Davi Lucca,53.0,RS,30/07/1967,1735.62,0
Renan,33.0,MG,15/07/1997,9908.16,0
Yuri,69.0,MG,25/09/1982,7882.42,0
Pedro Miguel,,MG,20/03/1990,12801.55,1
Luiz Gustavo,49.0,,11/08/2006,7965.06,0
Maria Cecília,44.0,SP,18/07/1965,8699.1,1
Enzo Gabriel,18.0,PR,24/09/1967,,0
Davi Lucca,57.0,,16/09/1995,7370.99,0
